epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,424.513,nan,nan,nan,0.0043,0.01166,0.0022,0.00167,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,446.916,nan,nan,nan,0.00405,0.01093,0.00207,0.00164,nan,nan,nan,0.00110589,0.00110589,0.00110589
19,469.441,nan,nan,nan,0.00321,0.00875,0.00164,0.00138,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,500.901,nan,nan,nan,0.00372,0.0102,0.0019,0.00157,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,523.342,nan,nan,nan,0.00429,0.01166,0.0022,0.00173,nan,nan,nan,0.00100687,0.00100687,0.00100687
22,545.826,nan,nan,nan,0.00565,0.01531,0.00291,0.0021,nan,nan,nan,0.000973861,0.000973861,0.000973861
23,568.373,nan,nan,nan,0.00567,0.01531,0.00292,0.00205,nan,nan,nan,0.000940855,0.000940855,0.000940855
24,590.838,nan,nan,nan,0.00479,0.01312,0.00246,0.00185,nan,nan,nan,0.000907848,0.000907848,0.000907848
25,613.312,nan,nan,nan,0.00556,0.01531,0.00287,0.00207,nan,nan,nan,0.000874842,0.000874842,0.000874842
26,635.778,nan,nan,nan,0.00397,0.01093,0.00203,0.00166,nan,nan,nan,0.000841835,0.000841835,0.000841835
27,658.177,nan,nan,nan,0.00324,0.00875,0.00166,0.00139,nan,nan,nan,0.000808828,0.000808828,0.000808828
28,680.559,nan,nan,nan,0.00374,0.0102,0.00191,0.0015,nan,nan,nan,0.000775822,0.000775822,0.000775822
29,702.971,nan,nan,nan,0.00352,0.00948,0.00179,0.00143,nan,nan,nan,0.000742815,0.000742815,0.000742815
30,725.432,nan,nan,nan,0.00349,0.00948,0.00178,0.00148,nan,nan,nan,0.000709809,0.000709809,0.000709809
31,748.003,nan,nan,nan,0.00348,0.00948,0.00178,0.00147,nan,nan,nan,0.000676802,0.000676802,0.000676802
32,770.545,nan,nan,nan,0.00499,0.01385,0.00257,0.00186,nan,nan,nan,0.000643795,0.000643795,0.000643795
33,797.958,nan,nan,nan,0.0045,0.01239,0.00231,0.0018,nan,nan,nan,0.000610789,0.000610789,0.000610789
34,824.975,nan,nan,nan,0.00567,0.01603,0.00293,0.00205,nan,nan,nan,0.000577782,0.000577782,0.000577782
35,847.457,nan,nan,nan,0.00441,0.01239,0.00226,0.00178,nan,nan,nan,0.000544776,0.000544776,0.000544776
36,874.597,nan,nan,nan,0.00472,0.01312,0.00242,0.00183,nan,nan,nan,0.000511769,0.000511769,0.000511769
37,896.998,nan,nan,nan,0.00529,0.01458,0.00272,0.00193,nan,nan,nan,0.000478762,0.000478762,0.000478762
38,919.498,nan,nan,nan,0.00452,0.01239,0.00232,0.00174,nan,nan,nan,0.000445756,0.000445756,0.000445756
39,941.907,nan,nan,nan,0.00523,0.01458,0.00269,0.00189,nan,nan,nan,0.000412749,0.000412749,0.000412749
40,964.361,nan,nan,nan,0.00536,0.01458,0.00276,0.00194,nan,nan,nan,0.000379743,0.000379743,0.000379743
41,986.706,nan,nan,nan,0.00262,0.00729,0.00133,0.00114,nan,nan,nan,0.000346736,0.000346736,0.000346736
42,1008.91,nan,nan,nan,0.00179,0.00437,0.0009,0.00072,nan,nan,nan,0.000313729,0.000313729,0.000313729
43,1030.83,nan,nan,nan,0.00199,0.00437,0.00101,0.00082,nan,nan,nan,0.000280723,0.000280723,0.000280723
44,1052.76,nan,nan,nan,0.00246,0.0051,0.00124,0.001,nan,nan,nan,0.000247716,0.000247716,0.000247716
45,1074.68,nan,nan,nan,0.00296,0.00628,0.0015,0.00116,nan,nan,nan,0.00021471,0.00021471,0.00021471
46,1096.76,nan,nan,nan,0.00349,0.00701,0.00177,0.0014,nan,nan,nan,0.000181703,0.000181703,0.000181703
47,1118.71,nan,nan,nan,0.00352,0.00656,0.00181,0.00146,nan,nan,nan,0.000148696,0.000148696,0.000148696
48,1140.65,nan,nan,nan,0.00401,0.00774,0.00205,0.00165,nan,nan,nan,0.00011569,0.00011569,0.00011569
49,1162.81,nan,nan,nan,0.00438,0.00802,0.00225,0.00186,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
50,1184.87,nan,nan,nan,0.00495,0.00875,0.00255,0.0021,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
