epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7034,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001667,0.0001667,0.0001667
2,44.9717,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000343139,0.000343139,0.000343139
3,71.8411,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000512316,0.000512316,0.000512316
4,94.9214,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000674231,0.000674231,0.000674231
5,118.546,nan,nan,nan,0.00022,0.00073,0.00011,8e-05,nan,nan,nan,0.000828886,0.000828886,0.000828886
6,146.017,nan,nan,nan,0.00022,0.00073,0.00011,0.0001,nan,nan,nan,0.000976279,0.000976279,0.000976279
7,168.411,nan,nan,nan,0.00045,0.00146,0.00023,0.00014,nan,nan,nan,0.00111641,0.00111641,0.00111641
8,190.846,nan,nan,nan,0.00141,0.00437,0.00071,0.00053,nan,nan,nan,0.00124928,0.00124928,0.00124928
9,213.302,nan,nan,nan,0.0014,0.00437,0.00071,0.00053,nan,nan,nan,0.00137489,0.00137489,0.00137489
10,235.811,nan,nan,nan,0.00292,0.00875,0.00148,0.001,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,258.425,nan,nan,nan,0.00418,0.01239,0.00215,0.00153,nan,nan,nan,0.00133693,0.00133693,0.00133693
12,285.545,nan,nan,nan,0.00429,0.01239,0.00221,0.00165,nan,nan,nan,0.00130393,0.00130393,0.00130393
13,308.073,nan,nan,nan,0.00485,0.01385,0.00249,0.00187,nan,nan,nan,0.00127092,0.00127092,0.00127092
14,339.481,nan,nan,nan,0.00387,0.01093,0.00198,0.00153,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,361.883,nan,nan,nan,0.00392,0.01093,0.002,0.00155,nan,nan,nan,0.00120491,0.00120491,0.00120491
16,392.987,nan,nan,nan,0.00369,0.0102,0.00189,0.00152,nan,nan,nan,0.0011719,0.0011719,0.0011719
